date,zone,overall_risk,above_treeline_risk,near_treeline_risk,below_treeline_risk,bottom_line_text,problem_type_text,forecast_discussion_text,combined_text,tavg,tmin,tmax,prcp,wdir,pres,tsun
2023-04-15,stevens pass,1.0,1.0,1.0,1.0,weak storm bring light rain treeline dusting snow upper elevation slight chance small wet avalanche though moving snow inconsequential watch sign instability like rollerballs natural wet avalanche,,medium,,7.6,3.1,11.1,1.3,165.1,1018.9,0.0
2023-04-14,stevens pass,1.0,1.0,1.0,1.0,warming temperature sun maintain slight chance small wet avalanche mostly inconsequential watch sign instability like rollerballs natural wet avalanche,expect enough sun warming temperature could still see wet avalanche surface frozen morning soften slope typical spring pay attention slope move mountain watch area unsupportive wet snow rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope,observer rock mountain reported thawing corn condition southerly slope recent wet loose avalanche treeline northerly aspect found cold dry snow recent drifting sign wind slab avalanche hazard on slope treeline able find older wind drifted slab triggering wind slab avalanche unlikely look sign instability like crack shooting snow snowpack still transitioning spring melt freeze condition watch anomalous high consequence hazard like falling cornice glide avalanche snow shedding rock recent large natural avalanche west south zone good reminder timing hazard tough predict easily avoid lingering feature produce th nearly water equivalent fell much rain ft th marked avalanche cycle rain line high ft many avalanche large observer reported significant avalanche lumiere ridge captain point keyes pk cowboy ridge see image glide crack opened number slope smooth ground rock slab fewer people flock mountain time year data confidence forecast lowered prepared make assessment travel re backcountry let know see submitting observation,warming temperature sun maintain slight chance small wet avalanche mostly inconsequential watch sign instability like rollerballs natural wet avalanche expect enough sun warming temperature could still see wet avalanche surface frozen morning soften slope typical spring pay attention slope move mountain watch area unsupportive wet snow rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slopes on observer rock mountain reported thawing corn condition southerly slope recent wet loose avalanche treeline northerly aspect found cold dry snow recent drifting sign wind slab avalanche hazard on slope treeline able find older wind drifted slab triggering wind slab avalanche unlikely look sign instability like crack shooting snow snowpack still transitioning spring melt freeze condition watch anomalous high consequence hazard like falling cornice glide avalanche snow shedding rock recent large natural avalanche west south zone good reminder timing hazard tough predict easily avoid lingering feature produce th nearly water equivalent fell much rain ft th marked avalanche cycle rain line high ft many avalanche large observer reported significant avalanche lumiere ridge captain point keyes pk cowboy ridge see image glide crack opened number slope smooth ground rock slab fewer people flock mountain time year data confidence forecast lowered prepared make assessment travel re backcountry let know see submitting observation,6.8,0.3,13.0,0.0,254.3,1016.4,0.0
2023-04-13,stevens pass,2.0,2.0,2.0,1.0,warming temperature sun maintain threat wet avalanche watch sign instability like rollerballs natural wet avalanche able trigger small avalanche area wind drifted snow upper elevation,watch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grains expect recent shallow slab upper elevation older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded feature,wind slab example snowboard triggered windslab earlier season lichtenberg mtn stevens passphoto nwac public obsexpect recent shallow slab upper elevation older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded feature,warming temperature sun maintain threat wet avalanche watch sign instability like rollerballs natural wet avalanche able trigger small avalanche area wind drifted snow upper elevations watch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grains expect recent shallow slab upper elevation older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded features wind slab example snowboard triggered windslab earlier season lichtenberg mtn stevens passphoto nwac public obsexpect recent shallow slab upper elevation older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded feature,5.9,1.4,10.5,1.1,244.6,1015.9,0.0
2023-04-12,stevens pass,2.0,2.0,2.0,1.0,mixed cloud sun maintain chance triggering wet avalanche sun exposed slope watch sign instability like rollerballs natural wet avalanche able trigger small avalanche area wind drifted snow upper elevation,expect recent shallow slab upper elevation older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded features watch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grain,wet loose debris large natural avalanche lake susan jane likely released wet avalanche rain event come unsupported slope photo public obswatch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grain,mixed cloud sun maintain chance triggering wet avalanche sun exposed slope watch sign instability like rollerballs natural wet avalanche able trigger small avalanche area wind drifted snow upper elevations expect recent shallow slab upper elevation older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded features watch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grains wet loose debris large natural avalanche lake susan jane likely released wet avalanche rain event come unsupported slope photo public obswatch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grain,5.4,0.5,10.7,1.1,251.1,1017.0,0.0
2023-04-11,stevens pass,2.0,2.0,2.0,2.0,clearing sky bring chance triggering wet avalanche sun exposed slope watch sign instability like rollerballs natural wet avalanche still able trigger avalanche lingering wind drifted snow upper elevation,watch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grains expect range recent shallow slab older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded feature,wind slab example snowboard triggered windslab earlier season lichtenberg mtn stevens passphoto nwac public obsexpect range recent shallow slab older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded feature,clearing sky bring chance triggering wet avalanche sun exposed slope watch sign instability like rollerballs natural wet avalanche still able trigger avalanche lingering wind drifted snow upper elevations watch wet avalanche sky clear avalanche could consequential find inch soft surface snow becoming moist enough snow low elevation true hazard watch rollerballs fresh wet avalanche indicator could trigger limit exposure moving shaded aspect lower angled slope find thin layer new snow yet become moist sitting older saturated wet grains expect range recent shallow slab older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded features wind slab example snowboard triggered windslab earlier season lichtenberg mtn stevens passphoto nwac public obsexpect range recent shallow slab older slab weekend difficult trigger likely location trigger wind slab alpine terrain ridge see large pillow like drift shooting crack snow feel hollow beneath stick lower angle slope steer around wind loaded feature,5.8,2.1,9.7,5.8,223.2,1015.3,0.0
2023-04-10,stevens pass,2.0,2.0,2.0,2.0,temperature finally cooling remain alert lingering wet snow problem snowpack drain main avalanche concern could cause serious harm large glide avalanche releasing big steep rocky face location steer around avoid traveling beneath end day could around inch snow could form reactive drift along ridgeline around feature upper elevation,wet loose avalanche activity large glide avalanche reported zone activity likely slow glide avalanche steep rock face could still happen warm wet snow especially snowpack wo disappear overnight glide avalanche highly unpredictable weather snowpack set problem like right good idea avoid traveling beneath glide crack runout steep smooth rock low vegetation slope wind drift higher elevation increase size day progress moderate strong wind increasing throughout day redistribute snow drift could avalanche human trigger search fresh drift expect see usual location ridgeline convex roll around feature avoid location steep slope search obvious clue like long shooting crack indicator avoid nearby slope greater,wind slaban old photo small wind slab avalanche intentionally triggered beneath ridgeline lichtenberg mtn similar might find near ridgeline upper elevation photo ryan mintonwind drift higher elevation increase size day progress moderate strong wind increasing throughout day redistribute snow drift could avalanche human trigger search fresh drift expect see usual location ridgeline convex roll around feature avoid location steep slope search obvious clue like long shooting crack indicator avoid nearby slope greater new snow bond well underlying heavier moist snow re likely trigger avalanche within new snow layer probably six inch le upper elevation ft much water received since fell snow drift could much deeper unlikely ll trigger larger avalanche question,temperature finally cooling remain alert lingering wet snow problem snowpack drain main avalanche concern could cause serious harm large glide avalanche releasing big steep rocky face location steer around avoid traveling beneath end day could around inch snow could form reactive drift along ridgeline around feature upper elevation wet loose avalanche activity large glide avalanche reported zone activity likely slow glide avalanche steep rock face could still happen warm wet snow especially snowpack wo disappear overnight glide avalanche highly unpredictable weather snowpack set problem like right good idea avoid traveling beneath glide crack runout steep smooth rock low vegetation slope wind drift higher elevation increase size day progress moderate strong wind increasing throughout day redistribute snow drift could avalanche human trigger search fresh drift expect see usual location ridgeline convex roll around feature avoid location steep slope search obvious clue like long shooting crack indicator avoid nearby slope greater wind slaban old photo small wind slab avalanche intentionally triggered beneath ridgeline lichtenberg mtn similar might find near ridgeline upper elevation photo ryan mintonwind drift higher elevation increase size day progress moderate strong wind increasing throughout day redistribute snow drift could avalanche human trigger search fresh drift expect see usual location ridgeline convex roll around feature avoid location steep slope search obvious clue like long shooting crack indicator avoid nearby slope greater new snow bond well underlying heavier moist snow re likely trigger avalanche within new snow layer probably six inch le upper elevation ft much water received since fell snow drift could much deeper unlikely ll trigger larger avalanche question,7.1,5.2,8.4,14.9,274.7,1016.4,0.0
2023-04-09,stevens pass,3.0,3.0,3.0,3.0,dangerous avalanche condition expected continue weak saturated snowpack highest elevation new snow land warm wet surface create wet loose avalanche danger anew wet avalanche type could gouge deeper layer becoming large destructive slide go mountain stay away steep slope,wet snow avalanche type could run naturally overnight snowpack becoming saturated ft heavy wet slide could churn downhill long steep slope slide could begin gouge deeper snowpack warm temperature rain creating punchy unsupportable condition fresh chunky avalanche good indicator dangerous condition glide rate increased glide avalanche begin release wet slab could also release naturally isolated location would want underneath,precipitation rate become heavy write likely raining least ft took drive pas found wet loose avalanche age size spmr noted cycle small wet loose slide able trigger easily day glide crack begun open elevation place often see safe say ll see natural avalanche overnight there uncertainty extent large might become case chance increasing larger destructive avalanche warmer temperature heavier rain continue weaken snowpack on northerly aspect ft could still find drier snow island true alpine terrain zone storm snow piling deeply last week observer jim hill found buried surface hour foot surface near interface layer could become overloaded create large slab isolated location facing ft,dangerous avalanche condition expected continue weak saturated snowpack highest elevation new snow land warm wet surface create wet loose avalanche danger anew wet avalanche type could gouge deeper layer becoming large destructive slide go mountain stay away steep slopes wet snow avalanche type could run naturally overnight snowpack becoming saturated ft heavy wet slide could churn downhill long steep slope slide could begin gouge deeper snowpack warm temperature rain creating punchy unsupportable condition fresh chunky avalanche good indicator dangerous condition glide rate increased glide avalanche begin release wet slab could also release naturally isolated location would want underneath them precipitation rate become heavy write likely raining least ft took drive pas found wet loose avalanche age size spmr noted cycle small wet loose slide able trigger easily day glide crack begun open elevation place often see safe say ll see natural avalanche overnight there uncertainty extent large might become case chance increasing larger destructive avalanche warmer temperature heavier rain continue weaken snowpack on northerly aspect ft could still find drier snow island true alpine terrain zone storm snow piling deeply last week observer jim hill found buried surface hour foot surface near interface layer could become overloaded create large slab isolated location facing ft,9.5,6.6,13.0,13.8,141.2,1017.2,0.0
2023-04-08,stevens pass,3.0,3.0,3.0,3.0,dangerous avalanche condition expected warming temperature heavy snow changing rain wet avalanche type could run steep slope become large danger increase precipitation intensity pick afternoon cycle natural slide could occur overnight,wet snow avalanche including wet loose wet slab glide slab cornice could begin run naturally several inch new snow accumulate temperature warm afternoon expected create fairly widespread instability increase evening night rain fall ft heavy wet loose slide could churn downhill long steep slope run slick crust could begin gouge deeper fresh large debris pile indicator avalanche like could run storm slab wet slab could run afternoon snow change rain glide crack begin open could release naturally,ll definitley wet soggy day snow fall turn rain pretty moist point middle day snow expected change rain instability begin increase rapidly precipitation rate snow level increase afternoon could see natural cycle large avalanche last overnight monday over past couple day observer reported round wet loose avalanche frequent location lichtenberg mountain recent slide mainly small larger wet loose slide reported east central snoqualmie pass many slope hold crust sort beneath recent snow find foot recent snow crust th st however northerly aspect ft could find weaker dry snow beneath warm dense storm snow last week observer jim hill found buried surface hour foot surface near interface layer could concern isolated location facing ft lower elevation snowpack well way melting year,dangerous avalanche condition expected warming temperature heavy snow changing rain wet avalanche type could run steep slope become large danger increase precipitation intensity pick afternoon cycle natural slide could occur overnight monday wet snow avalanche including wet loose wet slab glide slab cornice could begin run naturally several inch new snow accumulate temperature warm afternoon expected create fairly widespread instability increase evening night rain fall ft heavy wet loose slide could churn downhill long steep slope run slick crust could begin gouge deeper fresh large debris pile indicator avalanche like could run storm slab wet slab could run afternoon snow change rain glide crack begin open could release naturally it ll definitley wet soggy day snow fall turn rain pretty moist point middle day snow expected change rain instability begin increase rapidly precipitation rate snow level increase afternoon could see natural cycle large avalanche last overnight monday over past couple day observer reported round wet loose avalanche frequent location lichtenberg mountain recent slide mainly small larger wet loose slide reported east central snoqualmie pass many slope hold crust sort beneath recent snow find foot recent snow crust th st however northerly aspect ft could find weaker dry snow beneath warm dense storm snow last week observer jim hill found buried surface hour foot surface near interface layer could concern isolated location facing ft lower elevation snowpack well way melting year,7.8,4.8,10.7,3.1,178.2,1015.5,0.0
2023-04-07,stevens pass,2.0,1.0,2.0,2.0,condition deteriorate daytime warming mid lower elevation slope use timing advantage plan steer around steep slope warming temperature rain break surface crust evaluate bond new snow old surface venturing highest elevation there chance could still trigger storm slab isolated location,ll pick left wet snow problem heavy slow moving wet loose slide could churn downhill slick crust condition stable first thing morning weak surface freeze higher elevation temperature cooler daytime warms rain fall surface crust melt wet instability slowly rise look rollerballs recent fan shaped avalanche indicator type instability snow moist tends entrain run downhill move away steep slope glide crack also opening stay away find,look new snow zone moist gloppy snow norm except highest elevation observer reported round wet loose avalanche frequent location lichtenberg mountain slide mainly small also get enough observation get great handle if what avalanche activity occurred snoqualmie similar amount precipitaiton seemingly widespread wet loose cycle larger many slope hold crust sort beneath recent storm layer find foot recent snow crust th st however northerly aspect ft could find weaker dry snow beneath warm dense storm snow last week observer jim hill found buried surface hour foot surface near interface lower elevation snowpack well way melting year,condition deteriorate daytime warming mid lower elevation slope use timing advantage plan steer around steep slope warming temperature rain break surface crust evaluate bond new snow old surface venturing highest elevation there chance could still trigger storm slab isolated location ll pick left wet snow problem heavy slow moving wet loose slide could churn downhill slick crust condition stable first thing morning weak surface freeze higher elevation temperature cooler daytime warms rain fall surface crust melt wet instability slowly rise look rollerballs recent fan shaped avalanche indicator type instability snow moist tends entrain run downhill move away steep slope glide crack also opening stay away find them look new snow zone moist gloppy snow norm except highest elevation observer reported round wet loose avalanche frequent location lichtenberg mountain slide mainly small also get enough observation get great handle if what avalanche activity occurred snoqualmie similar amount precipitaiton seemingly widespread wet loose cycle larger many slope hold crust sort beneath recent storm layer find foot recent snow crust th st however northerly aspect ft could find weaker dry snow beneath warm dense storm snow last week observer jim hill found buried surface hour foot surface near interface lower elevation snowpack well way melting year,8.8,6.1,12.4,7.0,217.1,1010.1,0.0
2023-04-06,stevens pass,2.0,2.0,2.0,2.0,able trigger slab avalanche new snow upper elevation wet avalanche steep low mid elevation slope watch recent avalanche cracking surface snow rollerballs rain previously dry snow indicator give option move lower angle terrain see sign instability,watch triggering slab avalanche new snow upper elevation find inch new snow deeper drift leeward slope use caution around steep convexed rollover unsupported slope trigger point pay attention subtle change snow particularly cohesive poorly bonded old snow generally anticipate decent bond new old interface exception could northerly aspect treeline find thin weak layer slick crust expect wet avalanche primarily treeline shaded northerly aspect steep sunny slope sky clear afternoon northerly aspect could gouge older snow uncertainty whether avalanche significant enough danger pay attention much surface snow moistening easily slide test slope ready move lower angle slope find wet snow slide easily enough produce sizeable avalanche,wet loose natural wet avalanche occurred steep sunny slope lichtenberg mtn se photo john wet avalanche primarily treeline shaded northerly aspect steep sunny slope sky clear afternoon northerly aspect could gouge older snow uncertainty whether avalanche significant enough danger pay attention much surface snow moistening easily slide test slope ready move lower angle slope find wet snow slide easily enough produce sizeable avalanche,able trigger slab avalanche new snow upper elevation wet avalanche steep low mid elevation slope watch recent avalanche cracking surface snow rollerballs rain previously dry snow indicator give option move lower angle terrain see sign instability watch triggering slab avalanche new snow upper elevation find inch new snow deeper drift leeward slope use caution around steep convexed rollover unsupported slope trigger point pay attention subtle change snow particularly cohesive poorly bonded old snow generally anticipate decent bond new old interface exception could northerly aspect treeline find thin weak layer slick crust expect wet avalanche primarily treeline shaded northerly aspect steep sunny slope sky clear afternoon northerly aspect could gouge older snow uncertainty whether avalanche significant enough danger pay attention much surface snow moistening easily slide test slope ready move lower angle slope find wet snow slide easily enough produce sizeable avalanche wet loose natural wet avalanche occurred steep sunny slope lichtenberg mtn se photo john wet avalanche primarily treeline shaded northerly aspect steep sunny slope sky clear afternoon northerly aspect could gouge older snow uncertainty whether avalanche significant enough danger pay attention much surface snow moistening easily slide test slope ready move lower angle slope find wet snow slide easily enough produce sizeable avalanche,7.4,4.4,10.5,9.2,102.4,1012.4,0.0
