0,1,2,3,4,5,6,7,8
2023-04-15,Snoqualmie Pass,MODERATE,2 - MODERATE,1 - LOW,1 - LOW,"THE BOTTOM LINE
A couple of inches of new snow in the afternoon could start to build small wind-loaded pockets higher in the terrain. Blowing snow and textured surfaces should help you easily identify where these spots might exist.","You may see a wind slab problem start to develop Sunday afternoon once a few inches of snow is available to blow around. Fortunately, these slabs should be rather small, shallow, and easy to anticipate. If your plans call for traveling near exposed ridgelines or close to some of the Pass’s summits, expect to find pillow-like slabs on the downwind side of features. Even though they should be pretty small, don’t let one of these tiny avalanches knock you over in steep terrain.","FORECAST DISCUSSION
First thing Sunday morning, you may find generally safe avalanche conditions around the Pass. Punchy wet snow, breakable crusts, icy slopes, and old piles of avalanche debris should be the norm. With southerly flow, this storm doesn’t really favor the Snoqualmie area. As a result, the modest precipitation during the day should help limit the hazard. 
Near and below the rain-snow line, you may find that the snow surfaces become a bit wet and sticky. We think at these lower elevations the snowpack will easily handle this little bit of rain. However, on very steep slopes, where you find wet mushy snow, you may be able to push a small loose avalanche. This will be most likely near rocky areas. Don’t let one of these very small slides carry you over a cliff. 
Even though we had a bit of spring weather this past week, below a thick layer of melt-forms the snowpack is still winter-like. As it continues its transition to spring, you may encounter isolated large “shed” style avalanches (glide, cornice, wet slab). On Sunday, these types of avalanches would be most likely at lower elevations. However, it's just good practice to not hang out in the runouts of large avalanche paths, especially if you see looming cornices or crevasse-like glide cracks on the slopes above. 
This is the last avalanche forecast for the 22/23 season. NWAC will continue issuing mountain weather forecasts each afternoon at 2:30 pm through April. We’d like to thank each of you for reading and using these forecasts to make informed safe decisions and for contributing to your community by submitting observations. Please continue to help support your backcountry friends by letting others know what you find in the mountains. Have a wonderful spring and summer! ~Dallas and Andy"
2023-04-14,Snoqualmie Pass,LOW,1 - LOW,1 - LOW,1 - LOW,"THE BOTTOM LINE
Cloudy weather and a cool breeze should help limit any wet snow concerns on Saturday and result in generally safe avalanche conditions. If you happen to find wet mushy snow on the surface, use a bit of caution. These conditions could result in isolated small loose wet slides.","In general, we expect the snow to be capped by a punchy crust or a solid icy surface. Without the help of the sun, this firmer snow will struggle to weaken. This should prevent most wet avalanches. However, if the snow surface doesn’t freeze or if there’s more sunshine than expected, you could find a few areas of wet unstable snow. You’re most likely to encounter one of these pockets near rocky outcrops and on more southerly aspects where the sunshine and warm temperatures can have the greatest effect. These small avalanches are often slow and easy to predict, but they can still push you over a cliff or carry you down a chute.","FORECAST DISCUSSION
Saturday will be a bit of a transition day for the mountains. An approaching storm will spread clouds and increasing winds across the zone, but there won’t be enough new precipitation to develop any real danger. As a result, we expect a generally stable snowpack with minimal avalanche concerns. However, you may encounter variable travel conditions with breakable crust, icy slopes, frozen debris, and pockets of dry snow. 
Besides the potential for loose wet slides, there are two other avalanche problems to consider. 
-If you travel near the tops of some of the higher peaks, you may find cold dry snow on shaded aspects. You could encounter isolated pockets of wind-loaded snow in these locations. Keep your eye out for firmer pillow-like drifts that might produce small slab avalanches. 
-Despite the date on the calendar, the snowpack at mid and upper elevations around the Pass has not fully transitioned to spring. In fact, below a stout upper crust (4/11) the snowpack is still very cold, dry, and layered. “Shed” style avalanche (glide, cornice, and wet slab) could still occur. While these seem very unlikely Saturday, it’s good practice to not linger in the runouts below large avalanche terrain. This is particularly true if you see looming cornices or crevasse-like glide cracks. "
2023-04-13,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,1 - LOW,"THE BOTTOM LINE
Warmer temps and sunshine could quickly lead to wet avalanches in the recent snow. With a slick crust underneath, these avalanches could run easily and entrain additional snow. Move off of steep slopes if you are sinking deeply into wet, heavy snow, and be wary of steep, rocky terrain overhead.","Thursday will likely be a warm day with more sunshine than clouds. You can expect the recent snow to quickly become heavy and wet in the intense April sun and wet loose avalanches to run in steep terrain. These avalanches may start small but could increase in size as they entrain more snow sliding downhill. With a slick crust below the snow, they could also move faster than you may anticipate or trigger larger wet slabs. Rollerballs and pinwheels are the first signs that wet avalanches are becoming more likely. Move off steep terrain if you begin to sink into deep, wet snow or see steep rocks shedding snow in the sun. 

There may also be lingering glide avalanche potential on rock faces and steep, smooth slopes. So if you see a big frowning glide crack or hanging blocks of snow on rocky ledges, give yourself a wide berth around these unpredictable avalanches. You could still find lingering wind slabs in steep terrain at upper elevations. Look for textured surfaces or areas that look ""fat"" compared to the surrounding landscape to identify wind-loaded features. Using test slopes and hand pits as you travel can indicate the snow's slab potential and the strength of the bond with the old snow surface. Pay close attention to conditions near ridgelines, unsupported slopes, or confined terrain features where you're more likely to trigger one of these small avalanches.","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(4/11/2023)
A skier-triggered slab in the new storm snow on 4/11. [N 5000']
Photo: Public Observation
You could still find lingering wind slabs in steep terrain at upper elevations. Look for textured surfaces or areas that look ""fat"" compared to the surrounding landscape to identify wind-loaded features. Using test slopes and hand pits as you travel can indicate the snow's slab potential and the strength of the bond with the old snow surface. Pay close attention to conditions near ridgelines, unsupported slopes, or confined terrain features where you're more likely to trigger one of these small avalanches."
2023-04-12,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,1 - LOW,"THE BOTTOM LINE
Be sure to check the bonding of the recently fallen snow to the underlying crust on Thursday. This will give you information about both the depth and reactivity of any potential avalanche. If you see new avalanches or find a poor bond, default to lower-angled slopes.","If you’re going to trigger a slab avalanche on Thursday, it will likely be in wind-loaded terrain at upper elevations. Look for textured surfaces or areas that look “fat” compared to the surrounding landscape to identify wind-loaded features. Using test slopes and hand pits as you travel can give you an indication of the snow’s slab potential and how well it is bonded to the old snow surface. Pay close attention near ridgelines, unsupported slopes, or rocky terrain where you’re more likely to trigger one of these small avalanches.Periods of sunshine or daytime warming could result in Loose Wet avalanches occurring on steep slopes. If the surface is wet and sticky and you notice snow shedding from trees and rocks or new rollerballs, then wet avalanches may soon follow. Although they may start small, they have the ability to entrain snow and grow large as they descend, sometimes triggering slabs in the process. Your best management tool will be to head for lower-angled slopes keeping aware of overhead hazards.","AVALANCHE PROBLEM #2
Wet Loose
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(4/12/2023)
New rollerballs started with just a little sunshine on 4/11. These are often the precursor to Loose Wet avalanches.
Photo: Dallas Glass
Periods of sunshine or daytime warming could result in Loose Wet avalanches occurring on steep slopes. If the surface is wet and sticky and you notice snow shedding from trees and rocks or new rollerballs, then wet avalanches may soon follow. Although they may start small, they have the ability to entrain snow and grow large as they descend, sometimes triggering slabs in the process. Your best management tool will be to head for lower-angled slopes keeping aware of overhead hazards."
2023-04-11,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
The recent storm parade will leave behind overlapping avalanche problems to manage on Wednesday at Snoqualmie Pass. Don’t expect the snowpack to stay stagnant this time of year - new snow problems can quickly transition to wet problems given the right weather inputs. Make travel plans that give you plenty of options to adjust to changing conditions and avoid overhead hazards.","Large and unpredictable shedding avalanches such as Glides should be the avalanche problem that shapes your travel plans on Wednesday. These difficult-to-forecast events can fail without warning, sometimes long after the rain has stopped. On Wednesday, sun breaks and an end to our multiday storm cycle could provide the needed boost to tip the scales for some of these beasts. Don’t linger on slopes where you see crevasse-like cracks or hanging blocks of snow on rocky ledges. 
You could see other wet avalanches as a result of solar input on Wednesday. A new round of Loose slides could occur if the sun is able to destabilize the newly fallen snow. Although they may start small, they have the ability to entrain snow and grow large as they descend, sometimes triggering slabs in the process. Be leery of steep slopes in the sunshine if you are sinking into wet or moist snow past your ankle or see new fan-shaped avalanche debris/rollerballs.At upper elevations, Tuesday’s snowfall could have drifted into thicker pockets near ridgelines, rocky features, or convex rollovers. Look for textured surfaces or areas that look “fat” compared to the surrounding terrain to identify wind-loaded features where triggering a small avalanche is more likely. In isolated locations, they could entrain moist snow from below and start to increase in size. Use test slopes and hand-pits as you travel to check the bond to the old snow surface and how easily the new snow may be failing due to your weight. If the snow is failing easily in your tests, start thinking about the possibility of triggering slabs on unsupported convex slopes away from wind-effected terrain.","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(4/11/2023)
A skier-triggered slab in the new storm snow on 4/11. [N 5000']
Photo: Public Observation
At upper elevations, Tuesday’s snowfall could have drifted into thicker pockets near ridgelines, rocky features, or convex rollovers. Look for textured surfaces or areas that look “fat” compared to the surrounding terrain to identify wind-loaded features where triggering a small avalanche is more likely. In isolated locations, they could entrain moist snow from below and start to increase in size. Use test slopes and hand-pits as you travel to check the bond to the old snow surface and how easily the new snow may be failing due to your weight. If the snow is failing easily in your tests, start thinking about the possibility of triggering slabs on unsupported convex slopes away from wind-effected terrain."
2023-04-10,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Snowfall should eventually replace rain at Snoqualmie Pass as temperatures drop on Tuesday. As a result, you could encounter some new snow problems as you ascend in elevation. However, the threat for larger and scarier wet avalanches will remain. Don’t linger under hanging blocks of snow or slopes containing large cracks. ","It is going to take a bit of time for the snowpack to adjust to the amount of rain it just ingested. As a result, wet avalanche activity may diminish but will not be fully eliminated on Tuesday. As the storm cools and liquid precipitation tapers, the focus now shifts toward the unpredictable and dangerous Glide avalanches. These avalanches fail without warning and aren’t a problem you can easily manage. Steer clear of steep slopes where you see crevasse-like cracks or hanging blocks of snow on rocky ledges. 
Although we’re changing our focus toward Glides, other wet avalanches such as Wet Loose, Wet Slab, and Cornice collapses are all still on the table Tuesday. The travel advice for these problems is largely the same - stay clear of open slopes over 35 degrees wherever you encounter a wet and punchy snow surface. Any triggered wet avalanche has the potential to entrain significant snow and grow large. As temperatures drop and snowfall returns to the Pass, you could encounter some new snow problems. We anticipate any accumulation to have a favorable bond to the warm and wet surface. That said, be leery of features where the wind formed slightly deeper and firmer slabs. Textured surfaces, sharp cornices, or actively blowing snow can help you locate these wind-loaded pockets. Pay close attention near ridgelines or rocky terrain where you’re more likely to trigger one of these small avalanches.","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(3/25/2023)
Example: Look for Wind Slabs on specific terrain features such as in confined chutes like this one.  {Kendall Adventure Zone N 5300']
Photo: Public Observation
As temperatures drop and snowfall returns to the Pass, you could encounter some new snow problems. We anticipate any accumulation to have a favorable bond to the warm and wet surface. That said, be leery of features where the wind formed slightly deeper and firmer slabs. Textured surfaces, sharp cornices, or actively blowing snow can help you locate these wind-loaded pockets. Pay close attention near ridgelines or rocky terrain where you’re more likely to trigger one of these small avalanches."
2023-04-09,Snoqualmie Pass,CONSIDERABLE,2 - MODERATE,3 - CONSIDERABLE,3 - CONSIDERABLE,"THE BOTTOM LINE
It will take more than a little bit of cooler weather to bring an end to the wet avalanche concerns. Isolated natural large avalanches could occur as snow sheds from rocky and complex terrain. Stay off of steep soggy slopes and limit any time you spend beneath them.","While the bulk of the rain will have passed by Monday morning, wet avalanches may continue to occur. Some of these potential slides could be harder to trigger, but if they get rolling they will entrain plenty of wet heavy snow and act more like a bulldozer plowing down the hillside. This isn’t an avalanche problem to try and manage. Best to just stay out of its way and let the snowpack deal with the sudden switch from winter to spring. 
Wet slabs are notoriously hard to predict, but the ongoing rain falling on a cold, dry, layered snowpack is a pretty good recipe. You could also see natural loose wet, glide, and cornice avalanches with these conditions. Ultimately the travel advice is the same; seek out terrain away from steep open areas.Near the tops of the highest peaks around the Pass, you’ll probably encounter drier conditions. While this warmer snow should bond pretty well to the underlying old surface, be leery of places where the wind formed slightly deeper and firmer slabs. Textured surfaces and sharp cornices can help you anticipate these wind-loaded pockets. Pay attention near ridgelines and in the tops of chutes where you’re most likely to trigger one of these small avalanches.","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(3/24/2023)
Example: A shallow human-triggered slab in a confined chute on Mount Snoqualmie. 
Photo: Jourdan Harvey
Near the tops of the highest peaks around the Pass, you’ll probably encounter drier conditions. While this warmer snow should bond pretty well to the underlying old surface, be leery of places where the wind formed slightly deeper and firmer slabs. Textured surfaces and sharp cornices can help you anticipate these wind-loaded pockets. Pay attention near ridgelines and in the tops of chutes where you’re most likely to trigger one of these small avalanches."
2023-04-08,Snoqualmie Pass,HIGH,4 - HIGH,4 - HIGH,3 - CONSIDERABLE,"THE BOTTOM LINE
Very dangerous conditions are expected to develop on Sunday as an atmospheric river takes aim at Snoqualmie Pass. Wet avalanches large enough to bury and kill you will occur on most steep slopes. Sunday is not the day to hang out in the mountains, especially in avalanche terrain.","Wet avalanches will be prevalent throughout the mountains on Sunday, including slabs, loose, glide, and cornice collapses. You will likely see snow falling off rocks and ledges that are harder to put a name to. We’ll just call them ""spring shedding-type"" slides. The problems could vary from slope to slope or at different points during this rain event, sometimes overlapping. Any avalanche has the potential to grow large as it gouges down into older layers or entrains snow as it descends. Some could run far distances down into the trees. Sunday will not be a good day to hang out in terrain where avalanches can start, run, or stop.
Although some drier snow may fall at upper elevations to start this event, rising freezing levels mean that any new snow problems will eventually transition to wet snow problems. Don’t overthink it, Sunday is not the day to play in the mountains.","FORECAST DISCUSSION
As far as atmospheric rivers go, the one set to hit Snoqualmie Pass on Sunday could be considered modest. That said, we’ve seen what even modest rain events can do to our snowpack and now we have the added dimension of springtime to throw into the mix. 
Although the snow surface may already be wet from recent rain and sunny springtime weather, the moist snow only extends so deep. Below the wetting front, a layered cold dry snowpack exists with multiple interfaces capable of failing if water is able to percolate to their depth. And there are plenty of precariously hanging cornices or blocks of snow on rocky ledges that need to come down as we transition from winter to spring.
With a poor overnight refreeze expected, rising snow levels, and increasing precipitation rates, you could say that the hazard will escalate throughout the day. Or you could just keep it simple and realize that Sunday will be a lousy day to spend in the mountains and very dangerous avalanche conditions are expected. So you may as well stay home until this storm has wrapped up in a few days."
2023-04-07,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Mild weather will continue to keep wet avalanches at the front of our minds Saturday. This includes snow shedding from rocky faces and triggering isolated larger slides. Look for routes that help limit the time you spend on our below rocky complex terrain.","You’ll probably find plenty of wet punchy snow at mid and lower elevations. It may be harder to figure out if this snow could produce a real avalanche. If you see new rollerballs or find that when you push snow on small test slopes it starts to accelerate, then the scales are starting to tip. Stay off of near nearby steep slopes. Periods of rain, sunshine, and greenhousing could all cause the snow surface to go from wet and mushy to unstable and scary very quickly. 
After several warm wet days, you could also see blocks of snow shed from rocks and trigger slides below. Similar natural avalanches occurred on Friday. During these “shedding” style events avalanches can occur with little warning. So, while these slides should be rather isolated, look for routes that limit your exposure to this potential overhead hazard.At the top of some of the higher peaks around the Pass, you’ll find several inches of fresh snow. Watch out for places where the wind was able to drift this modest storm into slightly thicker slabs. You’re most likely to find these wind-loaded pockets along exposed ridgelines and in the tops of chutes. Don’t let one of these shallow slabs catch you by surprise. ","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(3/24/2023)
Example: A shallow human-triggered slab in a confined chute on Mount Snoqualmie. 
Photo: Jourdan Harvey
At the top of some of the higher peaks around the Pass, you’ll find several inches of fresh snow. Watch out for places where the wind was able to drift this modest storm into slightly thicker slabs. You’re most likely to find these wind-loaded pockets along exposed ridgelines and in the tops of chutes. Don’t let one of these shallow slabs catch you by surprise. "
2023-04-06,Snoqualmie Pass,MODERATE,2 - MODERATE,2 - MODERATE,2 - MODERATE,"THE BOTTOM LINE
Rain down low and snow up high will create a wide spectrum of conditions and avalanche concerns Friday. Pay attention to the consequences of the terrain. Don’t let one of these smaller slides push you into a creek or over a cliff.","Rain during the day Friday will maintain loose wet avalanches concerns on any steep open slope. If you’re near or below the rain-snow line you may find wet mushy snow, rollerballs, and fan-shaped piles of debris. When you see these clues be leery of nearby terrain greater than 35 degrees. In general, these slides should remain small and easier to manage. However, if one of these avalanches gets moving on a long continuous slope, it could entrain enough snow to grow large and deadly. 
While we aren’t expecting a widespread loose wet cycle, you could encounter a few natural avalanches. These would be most likely during periods of heavier precipitation or sunshine. Since one of these avalanches could descend onto you from above, don’t linger below steep open areas.While this isn’t a very windy storm, the only place we think you’ll encounter a significant slab is where the new snow manages to drift into slightly firmer and deeper pockets. These small wind slabs will probably be localized to right near ridgecrest and in other exposed spots like the top of chutes. Drifting snow and textured surfaces will probably serve as your best observations to find these wind-loaded areas. Don’t let one of these smaller slides take you for an unexpected ride.","AVALANCHE PROBLEM #2
Wind Slab
PROBLEM TYPE
N
E
S
W
NW
NE
SE
SW
Above Treeline
Near Treeline
Below Treeline
ASPECT/ELEVATION
Unlikely
Possible
Likely
Very Likely
Almost Certain
LIKELIHOOD
Small (D1)
Large (D2)
Very Large (D3)
Historic (D4-5)
SIZE
(1/24/2023) Visual clues of possibly wind loaded slopes. Photo: Dallas Glass
While this isn’t a very windy storm, the only place we think you’ll encounter a significant slab is where the new snow manages to drift into slightly firmer and deeper pockets. These small wind slabs will probably be localized to right near ridgecrest and in other exposed spots like the top of chutes. Drifting snow and textured surfaces will probably serve as your best observations to find these wind-loaded areas. Don’t let one of these smaller slides take you for an unexpected ride."
