,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,risk
0,2022-11-04,2.6,1.6,92.9,78.6,319.2,6.9,1008.0,16.0,-1
1,2022-11-16,-4.7,-7.0,84.8,0.0,74.7,8.0,1037.2,5.0,-1
2,2022-11-18,-6.5,-10.6,73.2,0.0,88.5,9.0,1033.9,1.0,-1
3,2022-11-21,-4.8,-8.7,74.2,0.0,66.4,6.4,1026.0,3.0,-1
4,2022-11-23,1.1,-0.2,91.6,4.2,281.6,8.4,1022.1,16.0,-1
5,2022-11-25,1.3,-2.2,80.5,6.1,31.5,5.8,1022.4,16.0,1
6,2022-11-26,-1.3,-2.7,90.0,2.3,271.8,9.0,1025.5,16.0,2
7,2022-11-27,-1.3,-2.6,90.8,26.2,267.9,13.1,1013.0,16.0,1
8,2022-11-28,-3.4,-5.1,88.0,9.1,264.7,6.8,1005.8,16.0,1
9,2022-11-29,-8.0,-10.3,83.8,2.0,352.4,4.6,1010.6,15.0,2
10,2022-11-30,-6.8,-8.8,85.4,29.0,55.9,5.0,998.2,21.0,2
11,2022-12-01,-4.7,-6.5,87.0,6.4,266.2,3.7,997.6,15.0,1
12,2022-12-02,-6.4,-8.5,85.4,0.1,340.9,5.0,1010.8,5.0,1
13,2022-12-03,-7.3,-9.4,84.2,4.5,81.1,7.6,1017.6,15.0,1
14,2022-12-04,-7.4,-9.6,84.5,0.6,81.5,7.0,1016.6,14.0,1
15,2022-12-05,-5.3,-7.0,88.2,2.7,35.1,3.4,1012.5,15.0,1
16,2022-12-06,-1.8,-3.4,89.0,0.4,274.1,10.9,1014.3,14.0,1
17,2022-12-07,-1.7,-3.3,88.9,0.6,296.4,5.4,1017.3,14.0,1
18,2022-12-08,-6.7,-8.5,86.8,8.1,66.2,6.0,1013.4,16.0,1
19,2022-12-09,-4.1,-5.9,87.3,1.9,24.5,3.3,1010.2,15.0,2
20,2022-12-10,-3.6,-5.2,88.5,15.7,83.4,8.4,996.9,16.0,2
21,2022-12-11,-0.6,-2.2,88.8,0.7,8.4,3.5,1001.4,5.0,1
22,2022-12-12,0.0,-2.4,83.8,0.0,271.6,6.7,1011.6,5.0,1
23,2022-12-13,-2.3,-4.9,83.0,0.0,274.5,6.1,1017.7,5.0,1
24,2022-12-14,-2.0,-4.4,83.8,0.3,255.7,6.7,1022.2,14.0,1
25,2022-12-15,-3.4,-5.7,84.5,0.0,71.2,5.2,1029.6,5.0,1
26,2022-12-16,-5.3,-7.5,85.1,0.0,55.7,5.0,1029.6,5.0,1
27,2022-12-17,-2.5,-4.7,84.9,0.1,277.3,6.4,1017.7,14.0,1
28,2022-12-18,-2.9,-4.6,88.2,7.7,263.6,12.6,1008.8,16.0,1
29,2022-12-19,-6.7,-8.5,86.8,2.3,273.6,11.7,1014.9,15.0,2
30,2022-12-20,-10.4,-12.6,83.8,33.5,36.7,5.5,1016.2,16.0,2
31,2022-12-20,-10.4,-12.6,83.8,33.5,36.7,5.5,1016.2,16.0,2
32,2022-12-21,-8.4,-10.5,84.8,2.4,298.6,9.2,1019.6,15.0,2
33,2022-12-22,-19.5,-22.6,76.3,0.0,85.9,12.0,1028.9,5.0,2
34,2022-12-23,-19.1,-21.9,78.7,21.7,65.5,10.9,1019.0,16.0,3
35,2022-12-24,-12.7,-15.1,82.4,26.3,67.8,8.9,1019.7,16.0,2
36,2022-12-25,3.4,2.1,91.5,14.9,315.0,7.2,1023.0,16.0,2
37,2022-12-26,1.4,0.2,91.8,12.6,61.0,7.1,1013.0,16.0,2
38,2022-12-27,0.9,-0.2,92.6,31.3,82.0,8.4,987.1,16.0,2
39,2022-12-28,-1.4,-2.4,92.5,20.3,261.3,17.3,999.3,16.0,1
40,2022-12-29,-1.6,-4.0,88.2,6.0,45.9,5.3,1004.2,16.0,2
41,2022-12-30,-1.1,-2.4,90.5,8.3,46.3,7.1,999.1,16.0,1
42,2022-12-31,0.1,-1.0,92.7,4.6,281.0,8.3,1004.3,15.0,1
43,2023-01-01,-0.8,-2.0,91.3,0.4,251.9,5.8,1015.2,14.0,1
44,2023-01-02,-5.0,-6.6,88.4,0.0,79.2,8.6,1011.5,5.0,0
45,2023-01-03,-2.6,-6.6,74.8,1.4,80.1,6.6,1008.2,14.0,1
46,2023-01-04,-1.8,-6.5,70.7,0.8,67.0,7.7,1011.1,5.0,1
47,2023-01-05,1.1,-3.6,70.8,2.7,70.0,8.8,1003.0,15.0,1
48,2023-01-06,2.7,-1.4,74.2,1.4,36.3,4.0,1012.2,15.0,1
49,2023-01-07,2.7,-1.7,72.6,8.0,83.7,8.1,1013.5,15.0,1
50,2023-01-08,3.0,-1.1,74.2,5.6,62.9,6.5,1004.3,15.0,1
51,2023-01-09,2.3,-1.7,75.0,6.6,45.9,4.7,1003.7,16.0,1
52,2023-01-10,1.7,-2.3,74.9,2.9,61.5,5.4,1004.2,5.0,1
53,2023-01-11,2.1,-2.1,74.5,1.0,67.5,7.2,1009.0,5.0,3
54,2023-01-12,2.7,-1.4,74.6,21.2,79.0,10.8,1014.3,16.0,2
55,2023-01-13,4.1,0.3,76.0,8.1,77.2,7.7,1010.9,13.0,2
56,2023-01-14,4.2,0.4,76.5,4.0,61.6,6.5,1001.8,15.0,1
57,2023-01-15,2.4,-0.6,80.9,3.0,81.0,9.1,994.2,15.0,1
58,2023-01-16,-1.5,-2.7,91.8,2.0,23.7,6.1,1004.2,15.0,1
59,2023-01-17,-0.2,-2.9,83.2,1.0,288.3,5.0,1011.8,5.0,1
60,2023-01-18,2.1,-2.3,72.8,6.6,63.9,5.6,1009.8,16.0,1
